date,target_1d,target_3d,target_5d,r_bpi,r_bdo,r_psei,r_fx,r_us10y,ma5,ma10,ma20,ema12,ema26,ma_ratio,lag1,lag2,lag3,mom5,mom10,rsi14,macd,macd_signal,vol5,vol10,vol20,vol_ratio,lag_psei,interact,vol5_sq,hi_vol
2019-02-04,0,0.017354014693151572,0.003276900802314858,-0.0065430985889359475,-0.010768666808012174,-0.009212061958239974,7.641316970660704e-4,0.012188513810384632,91.67999999999995,91.47999999999999,92.0625,91.71808705224724,92.10444715694929,0.9958452138492866,0,0,0.01092907053219023,-0.0065430985889359475,0.011397040078546831,45.07156468977179,-0.4194804014660436,-0.524031830873163,0.006293039247150808,0.006777264563363961,0.01048040385946375,0.9285515104676977,0,0,3.960234296618041e-5,0
2019-02-05,0.017354014693151572,0.003276900802314858,0.003276900802314858,0,0,0,-0.0015670988950291505,-0.00810917634787146,91.75999999999995,91.505,91.9075,91.66915058267074,92.05226588606416,0.9983951255338243,-0.0065430985889359475,0,0,0,0,45.07156468977179,-0.4161932351210318,-0.5024641117227368,0.006293039247150809,0.006777264563363961,0.010284440430177408,0.9285515104676978,-0.009212061958239974,-4.117597621815099e-5,3.960234296618042e-5,0
2019-02-06,0,-0.014077113890836714,-0.02559355595239578,0.017354014693151572,0.009299158828652157,-0.0013678136896280919,5.7376186985716435e-5,0,91.95999999999995,91.69,91.9075,91.87389664687524,92.122468413022375,1.0005712265049094,0,-0.0065430985889359475,0,0.006424944160961342,0.017354014693151572,53.60597667039512,-0.2698275137751338,-0.4559367921332162,0.008952636255765372,0.008659747413848541,0.010539152918082391,1.0338218689206162,0,0,8.014969592804462e-5,0
2019-02-07,-0.014077113890836714,-0.014077113890836714,-0.037244173172371144,0,0.0028506044440329828,0.005179867696842105,-0.003793907480437391,-0.018678149912857992,92.15999999999994,91.78,91.9025,92.04714331658674,92.18747075279849,1.0028018824297482,0.017354014693151572,0,-0.0065430985889359475,0,-0.010368442136589011,53.60597667039512,-0.15221964011578049,-0.3951933617297291,0.008952636255765372,0.008153612566157393,0.010536124403084423,1.0979962787199908,-0.0013678136896280919,1.5536418112499373e-4,8.014969592804462e-5,0
2019-02-08,0,-0.011516442061559067,-0.03439052165138397,-0.014077113890836714,-0.007098367755339466,-0.0036373368224669497,5.757604995439888e-4,-0.0075700517558733105,92.09999999999995,91.85,91.83250000000001,91.99373665249647,92.15136180814676,1.0029129120953904,0,0.017354014693151572,0,-0.014077113890836714,-0.002061677146425701,46.759887248940935,-0.17105027267905193,-0.35036474391959366,0.01161900911237678,0.00853562287928495,0.010992658926195966,1.3612374019680369,0.005179867696842105,0,1.3500137275349465e-4,0
2019-02-09,0,-0.02316705928153443,-0.01760221464812692,0,0,0,0,0,92.15999999999997,91.92,91.76250000000002,91.94854639826623,92.1179276001359,1.0043318348998769,-0.014077113890836714,0,0.017354014693151572,0.0065430985889359475,0,46.759887248940935,-0.18387430794678528,-0.317066656725032,0.011148759411836661,0.00853562287928495,0.010992658926195966,1.3061447968716513,-0.0036373368224669497,-1.5694235598196242e-4,1.2429483642301654e-4,0
2019-02-10,-0.011516442061559067,-0.03439052165138397,-0.02764133967645535,0,0,0,0,0,92.21999999999998,91.99000000000001,91.74750000000003,91.91030849084065,92.08697000012585,1.0051500040873043,0,-0.014077113890836714,0,0,0,46.75988724894095,-0.191842026385447,-0.292021730657115,0.011148759411836663,0.008535622879284952,0.01067611759991093,1.3061447968716513,0,0,1.2429483642301657e-4,0
2019-02-11,-0.011650617219975363,-0.0060857725865678565,-0.016124897614896286,-0.011516442061559067,-0.00863766658167145,-0.0011591559420275185,0.0019168110143384838,0.010957995144758105,91.74999999999997,91.855,91.64000000000003,91.71641487686516,91.9805277778943,1.0012003491924917,0,0,-0.014077113890836714,-0.028870456754710637,-0.022445512593749297,41.423186448836425,-0.2871400147506087,-0.29104538747581377,0.007067311228380142,0.008517399800665501,0.010751589150420508,0.8297498525110847,0,0,4.9946887998788026e-5,0
2019-02-12,-0.01122346236984954,-0.004474280394920923,-0.004474280394920923,-0.011650617219975363,0.007159726734296102,-0.006423831750294637,-0.002876596096175097,0.008606227781523723,91.06999999999998,91.61500000000001,91.57500000000002,91.39081258811666,91.80419238693916,0.9944853944853941,-0.011516442061559067,0,0,-0.011650617219975363,-0.011650617219975363,36.88917115788427,-0.4502842278489627,-0.32289315555044357,0.006875768462515793,0.00907152267048897,0.010055726740936227,0.7579508658324476,-0.0011591559420275185,-7.91843891272582e-5,4.727619195012679e-5,0
2019-02-13,0.016788307003257046,0.006749181974928617,0.006749181974928617,-0.01122346236984954,-0.01084685232310508,-0.011259265117276812,0.0038336255500228604,0.008902109829683908,90.44999999999999,91.275,91.36500000000002,90.96145680532948,91.56684480272145,0.9899852241011324,-0.011650617219975363,-0.011516442061559067,0,0.002853651520987174,-0.01122346236984954,33.16588472339473,-0.66114323224335525,-0.3905431708890259,0.006280721117837506,0.009396616859617575,0.008951289368229863,0.6684023847805496,-0.006423831750294637,-7.317427760934056e-5,3.944745776005001e-5,0
2019-02-14,-0.01003912502832843,-0.01003912502832843,-0.006123036107571465,0.016788307003257046,0.02235167192402634,0.008925684701289615,1.9129603119064252e-4,-0.01901264343936485,90.12999999999998,91.14500000000001,91.31250000000001,90.82892498912494,91.45818963214948,0.9870499657768648,-0.01122346236984954,-0.011650617219975363,-0.011516442061559067,0.016788307003257046,0.023331405592192996,42.53515435752953,-0.6880353148859375,-0.45004159968840823,0.0123916412034779,0.011328352723019445,0.009127533577866859,1.0938608204084104,-0.011259265117276812,-1.3907711874791128e-4,1.5355277171573122e-4,0
2019-02-15,0,0,0.006146987782424493,-0.01003912502832843,-0.05108056357948002,-0.010359749864080696,3.824823148560118e-4,0.0033814890764622255,89.62999999999998,90.92500000000003,91.215,90.57832114464418,91.29091632606433,0.9826234720166637,0.016788307003257046,-0.01122346236984954,-0.011650617219975363,-0.01003912502832843,-0.01003912502832843,39.00224068209459,-0.7805762173259123,-0.5161485232159091,0.012491536919843418,0.011628160662812486,0.009366903315648819,1.0742487382197994,0.008925684701289615,2.097117567528512e-4,1.5603849461981117e-4,0
2019-02-16,0,0.0039160889207569645,-0.00280662547411961,0,0,0,0,0,89.33999999999999,90.54500000000003,91.1175,90.36627173777583,91.13603363524476,0.980492221582023,-0.01003912502832843,0.016788307003257046,-0.01122346236984954,0.011516442061559067,-0.017354014693151572,39.00224068209458,-0.8446295792833736,-0.581844734429402,0.012168933888447845,0.009434481137426096,0.009366903315648819,1.2898360504611448,-0.010359749864080696,-1.2216544876759075e-4,1.480829519814144e-4,0
2019-02-17,0,0.006146987782424493,-0.03595251692841543,0,0,0,0,0,89.25999999999999,90.16500000000003,90.97250000000001,90.18684531657956,90.99262373633773,0.9811756299980762,0,-0.01003912502832843,0.016788307003257046,0.011650617219975363,0,39.00224068209459,-0.8855425711132514,-0.6425843017661719,0.01123157996373366,0.009434481137426096,0.008978736929542418,1.1904819989706235,0,0,1.261483884817434e-4,0
2019-02-18,0.0039160889207569645,-0.00280662547411961,-0.03595251692841543,0,-8.149590707763748e-4,2.136607618875826e-4,9.555662456686359e-4,0,89.38,89.91500000000003,90.88250000000002,90.03502296018272,90.85983679290531,0.9834676642918051,0,0,-0.01003912502832843,0.01122346236984954,0.014077113890836714,39.00224068209459,-0.9077870507324115,-0.6956248515594198,0.009663345589182346,0.00882268757484654,0.008640752393420041,1.0952836657995824,0,0,9.33802479759699e-5,0
2019-02-19,0.0022308988616675284,-0.039868605849172394,-0.039868605849172394,0.0039160889207569645,-0.03268716178850019,-0.009759781439858157,-0.004978945559445672,-0.007152228914117981,89.26999999999998,89.70000000000002,90.81000000000002,89.96040404323153,90.7628118452827,0.9830415152516239,0,0,0,-0.012872218082500081,0.0039160889207569645,41.542003764330175,-0.8840711143006219,-0.7333141041076602,0.00521108121062129,0.009043166298950585,0.008708683345637744,0.5762452042075141,2.136607618875826e-4,0,2.7155367383690245e-5,0
2019-02-20,-0.008953613256544103,-0.042099504710839925,-0.042099504710839925,0.0022308988616675284,0.002337214171023644,0.01337623023691618,-0.003654201585257305,0.0026410010922206686,89.37999999999998,89.50500000000002,90.74750000000002,89.92803419042669,90.68778874563213,0.9849307143447474,0.0039160889207569645,0,0,0.012270023889995957,0.0022308988616675284,43.002438764634846,-0.8377694127447155,-0.7542051658350712,0.0017857470710328578,0.0091352470995766,0.008733762573163573,0.19547879237066546,-0.009759781439858157,6.993144320145975e-6,3.1888926017024307e-6,0
2019-02-21,-0.03314589145429582,-0.03314589145429582,-0.04660032079454251,-0.008953613256544103,-0.003929645775392169,-0.00100059615645784,0.004421808608171662,0.012729456739487747,89.32999999999998,89.33500000000002,90.59500000000001,89.7775673918995,90.55906365336308,0.9860367569954188,0.0022308988616675284,0.0039160889207569645,0,-0.008953613256544103,0.002562828805014964,38.82426736950987,-0.8629685753542615,-0.7759578477389093,0.00497253514828281,0.008875521070217468,0.008468981869764398,0.5602527568740223,0.01337623023691618,1.1093223001905896e-5,2.4726105800907945e-5,0
2019-02-22,0,0,0.005215891280285228,-0.03314589145429582,0,0.0038795953635163997,-0.0019201234778024618,-0.012352765260978931,88.69999999999999,88.98000000000002,90.29750000000001,89.20409548545342,90.22505893829916,0.9823084803012262,-0.008953613256544103,0.0022308988616675284,0.0039160889207569645,-0.03314589145429582,-0.021495274234320457,28.147751180111246,-1.131574160061144,-0.8470811102033563,0.015334709633021979,0.013099172024594298,0.010989752260182763,1.1706625124267669,-0.00100059615645784,-1.3730105945548014e-4,2.3515331952909707e-4,0
2019-02-23,0,-0.01345442934024669,-0.024111723814234834,0,0,0,0,0,88.07,88.72500000000001,90.00000000000001,88.7188500261529,89.91579531323995,0.9785555555555553,-0.03314589145429582,-0.008953613256544103,0.0022308988616675284,0,0.01122346236984954,28.147751180111246,-1.3311846744137212,-0.9439018230454294,0.015334709633021979,0.012894778352941737,0.010989752260182763,1.1892185513621962,0.0038795953635163997,-5.08282620979291e-4,2.3515331952909707e-4,0
2019-02-24,0,0.005215891280285228,-0.024111723814234834,0,0,0,0,0,87.36999999999999,88.32000000000001,89.7325,88.30825771443706,89.62944010485181,0.973671746580113,0,-0.03314589145429582,-0.008953613256544103,-0.0039160889207569645,-0.016788307003257046,28.147751180111246,-1.474049585570525,-1.0499313755504485,0.014713030567386345,0.010996923262443637,0.010986865092646824,1.3379224548773425,0,0,0.00021647326847684494,0
2019-02-25,-0.01345442934024669,-0.024111723814234834,-0.024111723814234834,0,0,0,-0.002887115853968973,0.006756829630472752,86.63,88.005,89.465,87.96083345067751,89.36429639338131,0.968311630246465,0,0,-0.03314589145429582,-0.0022308988616675284,0.01003912502832843,28.147751180111243,-1.5704962712689619,-1.1540443546941512,0.014355692697220469,0.010902964048903747,0.010986865092646824,1.3166779815864733,0,0,2.060859128170291e-4,0
2019-02-26,0.018670320620531918,-0.010657294473988145,-0.010657294473988145,-0.01345442934024669,0.015442167320084549,0.0032638933973148368,0.0015408323541556384,-0.013938888021938933,85.82,87.57499999999999,89.06,87.48993599672713,89.03360777164936,0.9636200314394789,0,0,0,-0.004500816083702588,-0.01345442934024669,24.54721560101203,-1.7338079558467334,-1.2699970749246678,0.014537484389852303,0.011235098811444192,0.01010494293512162,1.2939347160030552,0,0,2.1133845238519938e-4,0
2019-02-27,-0.029327615094520063,-0.029327615094520063,-0.015730006829136223,0.018670320620531918,0.018837426072784207,-0.012475850347406607,-0.0032771113665987137,0.0213932573417343,85.90999999999998,87.30499999999998,88.735,87.3376381510768,88.845933121897545,0.9681636332901333,-0.01345442934024669,0,0,0.05181621207482774,0.018670320620531918,36.68259448416554,-1.697652236654823,-1.3555281072706988,0.011447286103871948,0.013475321056310512,0.011335490225394226,0.8495000643054191,0.0032638933973148368,-1.5401670202213298e-4,1.310403591438998e-4,0
2019-02-28,0,0,-0.0011911853701529335,-0.029327615094520063,-0.045119041621201214,-0.023551533232495037,0.0015435079275087401,0.006661714984275906,85.49999999999999,86.78499999999998,88.35,86.82415535860345,88.4869751128681,0.9677419354838709,0.018670320620531918,-0.01345442934024669,0,-0.029327615094520063,-0.029327615094520063,28.869514660628752,-1.8791689422580693,-1.460256274268173,0.017842621044977414,0.015734146233563184,0.012526163753814044,1.134006305783313,-0.012475850347406607,3.3312745562037857e-4,3.183591257546709e-4,0
2019-03-01,0,0.013597608265383842,0.027592005749373996,0,-0.03108859194014304,-0.008303810079636204,1.9277108493438938e-4,0.016099926291764863,85.08999999999999,86.22999999999999,87.965,86.3896699188183,88.15460658598897,0.9673165463536633,-0.029327615094520063,0.018670320620531918,-0.01345442934024669,0,-0.0039160889207569645,28.869514660628752,-2.002092386912413,-1.5686234967970212,0.017842621044977414,0.015506835446460223,0.012526163753814044,1.1506294180125827,-0.023551533232495037,-5.23281522284481e-4,3.183591257546709e-4,0
2019-03-02,0,-0.0011911853701529335,0.04879016416943214,0,0,0,0,0,84.67999999999998,85.65499999999999,87.58,86.02202839284625,87.84685794998978,0.9668874172185428,0,-0.029327615094520063,0.018670320620531918,0,-0.0022308988616675284,28.869514660628752,-2.0772849476100586,-1.6703557869596288,0.017842621044977414,0.015384466120969147,0.012526163753814046,1.1597816202837083,-0.008303810079636204,0,3.183591257546709e-4,0
2019-03-03,0.013597608265383842,0.027592005749373996,0.027012799246068683,0,0,0,0,0,84.49999999999997,85.15999999999998,87.24749999999999,85.71094710163914,87.56190550924981,0.968509126335998,0,0,-0.029327615094520063,0.01345442934024669,0.008953613256544103,28.869514660628756,-2.113885481186961,-1.7590617258050953,0.0172189887486513,0.015493791651832407,0.01244553725395494,1.1113476375303433,0,0,2.964935735261801e-4,0
2019-03-04,-0.014788793635536776,0.035192555904048295,0.01341519098068484,0.013597608265383842,0.015231921947256706,0.004400277644820892,-0.0025089273027647328,-0.012050622658625504,84.22999999999998,85.06999999999998,87.025,85.6246475475408,87.38324584189797,0.9678827923010626,0,0,0,-0.005072712355148076,0.046743499719679664,37.151824211608236,-2.0125119837491434,-1.8097517773939051,0.015775909915930537,0.013180591101392006,0.012881208328730888,1.1969045845193118,0,0,2.488793336755555e-4,0
2019-03-05,0.02878319111952693,0.028203984616221617,0.028203984616221617,-0.014788793635536776,0.015003387172685472,-6.320828512639745e-4,0.00923261030272896,0,84.20999999999997,84.85499999999999,86.79,85.35931715561145,87.12522763138702,0.9702730729346695,0.013597608265383842,0,0,0.014538821458983288,-0.014788793635536776,32.695466173583625,-2.026864690955943,-1.8531743601063129,0.010041409054710832,0.01386158237917327,0.013031398599039507,0.7244056832788321,0.004400277644820892,1.3653914675843616e-4,1.008298958040287e-4,0
